fetch_date,warehouse_id,date,temp_max,temp_min,precipitation,wind_speed,weather_code
2026-05-26,atlanta,2026-05-26,25.9,20.4,27.1,22.0,81
2026-05-26,atlanta,2026-05-27,27.2,20.2,90.0,18.5,65
2026-05-26,atlanta,2026-05-28,30.8,20.7,0.0,13.5,3
2026-05-26,atlanta,2026-05-29,28.2,20.9,6.6,13.4,80
2026-05-26,atlanta,2026-05-30,24.3,19.2,12.2,19.1,80
2026-05-26,atlanta,2026-05-31,27.5,17.2,0.0,16.5,3
2026-05-26,atlanta,2026-06-01,27.5,17.5,0.0,13.5,3
2026-05-26,atlanta,2026-06-02,32.2,18.9,0.0,5.4,3
2026-06-04,atlanta,2026-06-04,29.3,13.0,0.0,14.5,0
2026-06-04,atlanta,2026-06-05,30.9,16.4,0.0,14.0,3
2026-06-04,atlanta,2026-06-06,31.6,19.0,0.0,13.1,3
2026-06-04,atlanta,2026-06-07,32.4,22.2,0.0,17.9,3
2026-06-04,atlanta,2026-06-08,31.6,23.7,0.0,12.6,3
2026-06-04,atlanta,2026-06-09,24.6,17.0,1.8,17.3,51
2026-06-04,atlanta,2026-06-10,27.3,16.0,0.0,14.9,3
2026-06-04,atlanta,2026-06-11,30.7,18.7,0.0,13.0,3
2026-06-09,atlanta,2026-06-09,27.0,21.9,0.0,10.2,45
2026-06-09,atlanta,2026-06-10,31.0,20.8,0.88,10.9,51
2026-06-09,atlanta,2026-06-11,33.6,22.2,0.2,10.2,51
2026-06-09,atlanta,2026-06-12,34.1,25.1,0.5,15.0,51
2026-06-09,atlanta,2026-06-13,34.7,22.5,0.3,17.1,51
2026-06-09,atlanta,2026-06-14,24.9,21.0,6.0,10.0,53
2026-06-09,atlanta,2026-06-15,22.3,20.5,3.6,15.6,51
2026-06-09,atlanta,2026-06-16,24.9,20.7,5.7,19.1,53
2026-06-15,atlanta,2026-06-15,29.0,20.4,0.0,18.0,3
2026-06-15,atlanta,2026-06-16,25.3,20.9,4.0,18.1,61
2026-06-15,atlanta,2026-06-17,28.2,20.2,2.2,17.3,95
2026-06-15,atlanta,2026-06-18,26.8,21.3,39.9,21.0,95
2026-06-15,atlanta,2026-06-19,24.8,21.3,26.7,19.5,96
2026-06-15,atlanta,2026-06-20,30.6,18.1,0.0,13.2,3
2026-06-15,atlanta,2026-06-21,32.7,20.9,0.0,12.8,3
2026-06-15,atlanta,2026-06-22,29.3,21.8,1.8,21.9,95
2026-06-24,atlanta,2026-06-24,30.6,17.0,0.0,11.1,3
2026-06-24,atlanta,2026-06-25,32.0,18.7,0.0,18.7,3
2026-06-24,atlanta,2026-06-26,33.6,22.9,3.2,16.7,96
2026-06-24,atlanta,2026-06-27,36.1,23.4,0.0,16.8,3
2026-06-24,atlanta,2026-06-28,35.8,25.7,0.1,27.7,51
2026-06-24,atlanta,2026-06-29,34.3,24.3,0.0,17.0,3
2026-06-24,atlanta,2026-06-30,34.1,24.0,0.0,16.9,3
2026-06-24,atlanta,2026-07-01,34.8,22.3,0.0,13.7,0
2026-06-25,atlanta,2026-06-25,31.5,18.2,0.0,11.6,3
2026-06-25,atlanta,2026-06-26,29.1,21.0,0.0,15.5,3
2026-06-25,atlanta,2026-06-27,34.7,22.6,2.1,19.2,55
2026-06-25,atlanta,2026-06-28,35.0,24.4,0.3,19.2,51
2026-06-25,atlanta,2026-06-29,35.9,25.9,0.1,16.4,95
2026-06-25,atlanta,2026-06-30,34.0,25.5,0.0,20.3,3
2026-06-25,atlanta,2026-07-01,34.8,23.4,0.0,16.2,2
2026-06-25,atlanta,2026-07-02,35.5,23.4,0.0,14.4,1
